# From https://gist.github.com/PawelGerr/cb5886ee26c41ae2386b

.123 application/vnd.lotus-1-2-3
.hxw application/octet-stream
.hxx text/plain
.i text/plain
.i2g application/vnd.intergeo
.icc application/vnd.iccprofile
.ice x-conference/x-cooltalk
.icm application/vnd.iccprofile
.ico image/x-icon
.ics text/calendar
.idl text/plain
.ief image/ief
.ifb text/calendar
.ifm application/vnd.shana.informed.formdata
.iges model/iges
.igl application/vnd.igloader
.igm application/vnd.insors.igm
.igs model/iges
.igx application/vnd.micrografx.igx
.iif application/vnd.shana.informed.interchange
.iii application/x-iphone
.imp application/vnd.accpac.simply.imp
.ims application/vnd.ms-ims
.in text/plain
.inc text/plain
.inf application/octet-stream
.ink application/inkml+xml
.inkml application/inkml+xml
.inl text/plain
.ins application/x-internet-signup
.install application/x-install-instructions
.iota application/vnd.astraea-software.iota
.ipa application/x-itunes-ipa
.ipfix application/ipfix
.ipg application/x-itunes-ipg
.ipk application/vnd.shana.informed.package
.ipproj text/plain
.ipsw application/x-itunes-ipsw
.iqy text/x-ms-iqy
.irm application/vnd.ibm.rights-management
.irp application/vnd.irepository.package+xml
.iso application/x-iso9660-image
.isp application/x-internet-signup
.ite application/x-itunes-ite
.itlp application/x-itunes-itlp
.itms application/x-itunes-itms
.itp application/vnd.shana.informed.formtemplate
.itpc application/x-itunes-itpc
.IVF video/x-ivf
.ivp application/vnd.immervision-ivp
.ivu application/vnd.immervision-ivu
.jad text/vnd.sun.j2me.app-descriptor
.jam application/vnd.jam
.jar application/java-archive
.java text/x-java-source
.jck application/liquidmotion
.jcz application/liquidmotion
.jfif image/pjpeg
.jisp application/vnd.jisp
.jlt application/vnd.hp-jlyt
.jnlp application/x-java-jnlp-file
.joda application/vnd.joost.joda-archive
.jpb application/octet-stream
.jpe image/jpeg
.jpeg image/jpeg
.jpg image/jpeg
.jpgm video/jpm
.jpgv video/jpeg
.jpm video/jpm
.js application/javascript
.json application/json
.jsonml application/jsonml+json
.jsx text/jscript
.jsxbin text/plain
.kar audio/midi
.karbon application/vnd.kde.karbon
.kfo application/vnd.kde.kformula
.kia application/vnd.kidspiration
.kml application/vnd.google-earth.kml+xml
.kmz application/vnd.google-earth.kmz
.kne application/vnd.kinar
.knp application/vnd.kinar
.kon application/vnd.kde.kontour
.kpr application/vnd.kde.kpresenter
.kpt application/vnd.kde.kpresenter
.kpxx application/vnd.ds-keypoint
.ksp application/vnd.kde.kspread
.ktr application/vnd.kahootz
.ktx image/ktx
.ktz application/vnd.kahootz
.kwd application/vnd.kde.kword
.kwt application/vnd.kde.kword
.lasxml application/vnd.las.las+xml
.latex application/x-latex
.lbd application/vnd.llamagraphics.life-balance.desktop
.lbe application/vnd.llamagraphics.life-balance.exchange+xml
.les application/vnd.hhe.lesson-player
.lha application/x-lzh-compressed
.library-ms application/windows-library+xml
.link66 application/vnd.route66.link66+xml
.list text/plain
.list3820 application/vnd.ibm.modcap
.listafp application/vnd.ibm.modcap
.lit application/x-ms-reader
.lnk application/x-ms-shortcut
.loadtest application/xml
.log text/plain
.lostxml application/lost+xml
.lpk application/octet-stream
.lrf application/octet-stream
.lrm application/vnd.ms-lrm
.lsf video/x-la-asf
.lst text/plain
.lsx video/x-la-asf
.ltf application/vnd.frogans.ltf
.lvp audio/vnd.lucent.voice
.lwp application/vnd.lotus-wordpro
.lzh application/x-lzh-compressed
.m13 application/x-msmediaview
.m14 application/x-msmediaview
.m1v video/mpeg
.m21 application/mp21
.m2a audio/mpeg
.m2t video/vnd.dlna.mpeg-tts
.m2ts video/vnd.dlna.mpeg-tts
.m2v video/mpeg
.m3a audio/mpeg
.m3u audio/x-mpegurl
.m3u8 application/vnd.apple.mpegurl
.m4a audio/m4a
.m4b audio/m4b
.m4p audio/m4p
.m4r audio/x-m4r
.m4u video/vnd.mpegurl
.m4v video/x-m4v
.ma application/mathematica
.mac image/x-macpaint
.mads application/mads+xml
.mag application/vnd.ecowin.chart
.mak text/plain
.maker application/vnd.framemaker
.man text/troff
.manifest application/x-ms-manifest
.map text/plain
.mar application/octet-stream
.master application/xml
.mathml application/mathml+xml
.mb application/mathematica
.mbk application/vnd.mobius.mbk
.mbox application/mbox
.mc1 application/vnd.medcalcdata
.mcd application/vnd.mcd
.mcurl text/vnd.curl.mcurl
.mda application/msaccess
.mdb application/x-msaccess
.mde application/msaccess
.mdi image/vnd.ms-modi
.mdp application/octet-stream
.me text/troff
.mesh model/mesh
.meta4 application/metalink4+xml
.metalink application/metalink+xml
.mets application/mets+xml
.mfm application/vnd.mfmp
.mfp application/x-shockwave-flash
.mft application/rpki-manifest
.mgp application/vnd.osgeo.mapguide.package
.mgz application/vnd.proteus.magazine
.mht message/rfc822
.mhtml message/rfc822
.mid audio/midi
.midi audio/midi
.mie application/x-mie
.mif application/vnd.mif
.mime message/rfc822
.mix application/octet-stream
.mj2 video/mj2
.mjp2 video/mj2
.mk text/plain
.mk3d video/x-matroska
.mka audio/x-matroska
.mks video/x-matroska
.mkv video/x-matroska
.mlp application/vnd.dolby.mlp
.mmd application/vnd.chipnuts.karaoke-mmd
.mmf application/vnd.smaf
.mmr image/vnd.fujixerox.edmics-mmr
.mng video/x-mng
.mno text/xml
.mny application/x-msmoney
.mobi application/x-mobipocket-ebook
.mod video/mpeg
.mods application/mods+xml
.mov video/quicktime
.movie video/x-sgi-movie
.mp2 audio/mpeg
.mp21 application/mp21
.mp2a audio/mpeg
.mp2v video/mpeg
.mp3 audio/mpeg
.mp4 video/mp4
.mp4a audio/mp4
.mp4s application/mp4
.mp4v video/mp4
.mpa video/mpeg
.mpc application/vnd.mophun.certificate
.mpe video/mpeg
.mpeg video/mpeg
.mpf application/vnd.ms-mediapackage
.mpg video/mpeg
.mpg4 video/mp4
.mpga audio/mpeg
.mpkg application/vnd.apple.installer+xml
.mpm application/vnd.blueice.multipass
.mpn application/vnd.mophun.application
.mpp application/vnd.ms-project
.mpt application/vnd.ms-project
.mpv2 video/mpeg
.mpy application/vnd.ibm.minipay
.mqv video/quicktime
.mqy application/vnd.mobius.mqy
.mrc application/marc
.mrcx application/marcxml+xml
.ms text/troff
.mscml application/mediaservercontrol+xml
.mseed application/vnd.fdsn.mseed
.mseq application/vnd.mseq
.msf application/vnd.epson.msf
.msh model/mesh
.msi application/x-msdownload
.msl application/vnd.mobius.msl
.mso application/octet-stream
.msty application/vnd.muvee.style
.mts model/vnd.mts
.mtx application/xml
.mus application/vnd.musician
.musicxml application/vnd.recordare.musicxml+xml
.mvb application/x-msmediaview
.mvc application/x-miva-compiled
.mwf application/vnd.mfer
.mxf application/mxf
.mxl application/vnd.recordare.musicxml
.mxml application/xv+xml
.mxp application/x-mmxp
.mxs application/vnd.triscape.mxs
.mxu video/vnd.mpegurl
.n3 text/n3
.nb application/mathematica
.nbp application/vnd.wolfram.player
.nc application/x-netcdf
.ncx application/x-dtbncx+xml
.nfo text/x-nfo
.n-gage application/vnd.nokia.n-gage.symbian.install
.ngdat application/vnd.nokia.n-gage.data
.nitf application/vnd.nitf
.nlu application/vnd.neurolanguage.nlu
.nml application/vnd.enliven
.nnd application/vnd.noblenet-directory
.nns application/vnd.noblenet-sealer
.nnw application/vnd.noblenet-web
.npx image/vnd.net-fpx
.nsc application/x-conference
.nsf application/vnd.lotus-notes
.ntf application/vnd.nitf
.nws message/rfc822
.nzb application/x-nzb
.oa2 application/vnd.fujitsu.oasys2
.oa3 application/vnd.fujitsu.oasys3
.oas application/vnd.fujitsu.oasys
.obd application/x-msbinder
.obj application/x-tgif
.ocx application/octet-stream
.oda application/oda
.odb application/vnd.oasis.opendocument.database
.odc application/vnd.oasis.opendocument.chart
.odf application/vnd.oasis.opendocument.formula
